Name;Team;Position;Heigth;Weigth;Age
Joe Crede;CWS;Small Forward;77.21;190.00;28.85
Josh Fields;CWS;Small Forward;77.21;204.25;24.21
Ryan Sweeney;CWS;Shooting Guard;80.38;190.00;22.02
Brian N. Anderson;CWS;Shooting Guard;78.27;194.75;24.97
Luis Terrero;CWS;Shooting Guard;78.27;195.70;26.78
Pablo Ozuna;CWS;Shooting Guard;74.04;176.70;32.51
Scott Podsednik;CWS;Shooting Guard;76.15;178.60;30.95
Jermaine Dye;CWS;Shooting Guard;81.44;209.00;33.09
Darin Erstad;CWS;Shooting Guard;78.27;199.50;32.74
Rob Mackowiak;CWS;Shooting Guard;74.04;185.25;30.69
Jim Thome;CWS;Small Forward;80.38;231.80;36.51
Jerry Owens;CWS;Small Forward;79.33;185.25;26.03
Charlie Haeger;CWS;Point Guard;77.21;190.00;23.45
Heath Phillips;CWS;Point Guard;79.33;190.00;24.94
Gavin Floyd;CWS;Point Guard;80.38;201.40;24.09
Jose Contreras;CWS;Point Guard;80.38;212.80;35.23
Jon Garland;CWS;Point Guard;82.50;199.50;27.43
Javier Vazquez;CWS;Point Guard;78.27;194.75;30.6
Mark Buehrle;CWS;Point Guard;78.27;209.00;27.94
Mike MacDougal;CWS;Center;80.38;185.25;29.99
David Aardsma;CWS;Center;81.44;190.00;25.17
Andrew Sisco;CWS;Center;85.67;247.00;24.13
Matt Thornton;CWS;Center;82.50;216.60;30.46
Bobby Jenks;CWS;Center;79.33;256.50;25.96
Boone Logan;CWS;Center;81.44;190.00;22.55
Sean Tracey;CWS;Center;79.33;199.50;26.29
Nick Masset;CWS;Center;80.38;180.50;24.79
Jose Molina;ANA;Point Guard;78.27;209.00;31.74
Jeff Mathis;ANA;Point Guard;76.15;171.00;23.92
Mike Napoli;ANA;Point Guard;76.15;194.75;25.33
Casey Kotchman;ANA;Center;79.33;199.50;24.02
Kendry Morales;ANA;Center;77.21;209.00;23.7
Shea Hillenbrand;ANA;Center;77.21;200.45;31.59
Robb Quinlan;ANA;Center;77.21;190.00;29.95
Howie Kendrick;ANA;Center;74.04;171.00;23.64
Orlando Cabrera;ANA;Power Forward;74.04;180.50;32.33
Erick Aybar;ANA;Power Forward;74.04;161.50;23.13
Dallas McPherson;ANA;Small Forward;80.38;218.50;26.6
Maicer Izturis;ANA;Small Forward;71.92;147.25;26.46
Reggie Willits;ANA;Shooting Guard;75.10;175.75;25.75
Tommy Murphy;ANA;Shooting Guard;76.15;175.75;27.51
Terry Evans;ANA;Shooting Guard;79.33;190.00;25.11
Gary Matthews Jr.;ANA;Shooting Guard;79.33;213.75;32.51
Garret Anderson;ANA;Shooting Guard;79.33;213.75;34.67
Vladimir Guerrero;ANA;Shooting Guard;79.33;209.00;31.06
Chone Figgins;ANA;Shooting Guard;71.92;152.00;29.1
Juan Rivera;ANA;Shooting Guard;78.27;194.75;28.66
John Lackey;ANA;Point Guard;82.50;223.25;28.35
Bartolo Colon;ANA;Point Guard;75.10;237.50;33.77
Kelvim Escobar;ANA;Point Guard;77.21;199.50;30.89
Dustin Moseley;ANA;Point Guard;80.38;180.50;37.74
Ervin Santana;ANA;Point Guard;78.27;152.00;24.14
Joe Saunders;ANA;Point Guard;78.27;190.00;25.71
Jered Weaver;ANA;Point Guard;83.56;194.75;24.41
Chris Resop;ANA;Center;79.33;210.90;24.32
Phil Seibel;ANA;Center;77.21;185.25;28.09
Justin Speier;ANA;Center;80.38;194.75;33.31
Darren Oliver;ANA;Center;78.27;209.00;36.4
Hector Carrasco;ANA;Center;78.27;209.00;37.36
Scot Shields;ANA;Center;77.21;161.50;31.61
Francisco Rodriguez;ANA;Center;76.15;175.75;25.14
Greg Jones;ANA;Center;78.27;185.25;30.29
Doug Mirabelli;BOS;Point Guard;77.21;209.00;36.37
Jason Varitek;BOS;Point Guard;78.27;218.50;34.89
George Kottaras;BOS;Point Guard;76.15;171.00;23.79
Kevin Youkilis;BOS;Center;77.21;209.00;27.96
Dustin Pedroia;BOS;Small Forward;72.98;171.00;23.54
Alex Cora;BOS;Power Forward;76.15;171.00;31.37
Julio Lugo;BOS;Power Forward;77.21;161.50;31.29
Mike Lowell;BOS;Small Forward;79.33;199.50;33.01
Wily Mo Pe?a;BOS;Shooting Guard;79.33;204.25;25.1
J.D. Drew;BOS;Shooting Guard;77.21;190.00;31.28
Manny Ramirez;BOS;Shooting Guard;76.15;202.35;34.75
Brandon Moss;BOS;Shooting Guard;76.15;171.00;23.46
David Murphy;BOS;Shooting Guard;80.38;182.40;25.37
Eric Hinske;BOS;Shooting Guard;78.27;223.25;29.57
Coco Crisp;BOS;Shooting Guard;76.15;175.75;27.33
David Ortiz;BOS;Small Forward;80.38;218.50;31.28
Curt Schilling;BOS;Point Guard;81.44;223.25;40.29
Tim Wakefield;BOS;Point Guard;78.27;199.50;40.58
Josh Beckett;BOS;Point Guard;81.44;210.90;26.79
Matt Clement;BOS;Point Guard;79.33;199.50;32.55
Jonathan Papelbon;BOS;Point Guard;80.38;218.50;26.27
Kyle Snyder;BOS;Point Guard;84.62;209.00;29.47
Devern Hansack;BOS;Point Guard;78.27;171.00;29.07
Jon Lester;BOS;Point Guard;78.27;180.50;23.15
Kason Gabbard;BOS;Point Guard;79.33;190.00;24.9
Craig Hansen;BOS;Center;82.50;199.50;23.29
Hideki Okajima;BOS;Center;77.21;184.30;31.18
Craig Breslow;BOS;Center;77.21;171.00;26.56
Manny Delcarmen;BOS;Center;78.27;180.50;25.03
Brendan Donnelly;BOS;Center;79.33;228.00;35.66
Javier Lopez;BOS;Center;80.38;190.00;29.64
J.C. Romero;BOS;Center;75.10;188.10;30.74
Joel Pineiro;BOS;Center;77.21;190.00;28.43
Julian Tavarez;BOS;Center;78.27;185.25;33.77
Mike Timlin;BOS;Center;80.38;199.50;40.97
Nick DeBarr;BOS;Center;80.38;209.00;23.52
Victor Martinez;CLE;Point Guard;78.27;180.50;28.19
Kelly Shoppach;CLE;Point Guard;77.21;199.50;26.84
Ryan Garko;CLE;Center;78.27;213.75;26.16
Joe Inglett;CLE;Small Forward;74.04;171.00;28.67
Josh Barfield;CLE;Small Forward;76.15;175.75;24.2
Hector Luna;CLE;Small Forward;77.21;161.50;27.08
Jhonny Peralta;CLE;Power Forward;77.21;175.75;24.76
Andy Marte;CLE;Small Forward;77.21;175.75;23.36
Ben Francisco;CLE;Shooting Guard;77.21;171.00;25.35
Shin-Soo Choo;CLE;Shooting Guard;75.10;169.10;24.63
Franklin Gutierrez;CLE;Shooting Guard;78.27;166.25;24.02
Grady Sizemore;CLE;Shooting Guard;78.27;190.00;24.58
Jason Michaels;CLE;Shooting Guard;76.15;193.80;30.82
Trot Nixon;CLE;Shooting Guard;78.27;200.45;32.89
David Dellucci;CLE;Shooting Guard;75.10;180.50;33.33
Casey Blake;CLE;Shooting Guard;78.27;199.50;33.52
Travis Hafner;CLE;Small Forward;79.33;228.00;29.74
Paul Byrd;CLE;Point Guard;77.21;180.50;36.24
Cliff Lee;CLE;Point Guard;79.33;180.50;28.5
Jake Westbrook;CLE;Point Guard;79.33;175.75;29.42
C.C. Sabathia;CLE;Point Guard;83.56;275.50;26.61
Jeremy Sowers;CLE;Point Guard;77.21;166.25;23.79
Rafael Perez;CLE;Center;79.33;175.75;24.96
Brian Slocum;CLE;Center;80.38;190.00;25.93
Edward Mujica;CLE;Center;78.27;209.00;22.81
Fernando Cabrera;CLE;Center;80.38;161.50;25.29
Tom Mastny;CLE;Center;82.50;209.00;26.07
Juan Lara;CLE;Center;78.27;180.50;26.09
Fausto Carmona;CLE;Center;80.38;209.00;23.23
Aaron Fultz;CLE;Center;76.15;194.75;33.49
Rafael Betancourt;CLE;Center;78.27;190.00;31.84
Roberto Hernandez;CLE;Center;80.38;237.50;42.3
Joe Borowski;CLE;Center;78.27;213.75;35.82
Matt Miller;CLE;Center;79.33;204.25;35.27
Jason Davis;CLE;Center;82.50;199.50;26.81
Mike Piazza;OAK;Point Guard;79.33;204.25;38.49
Jason Kendall;OAK;Point Guard;76.15;185.25;32.68
Adam Melhuse;OAK;Point Guard;78.27;190.00;34.93
Nick Swisher;OAK;Center;76.15;184.30;26.26
Dan Johnson;OAK;Center;78.27;209.00;27.56
Donald Murphy;OAK;Small Forward;74.04;171.00;23.98
Mark Ellis;OAK;Small Forward;75.10;171.00;29.73
Marco Scutaro;OAK;Power Forward;74.04;161.50;31.33
Bobby Crosby;OAK;Power Forward;79.33;185.25;27.13
Mark Kiger;OAK;Power Forward;75.10;171.00;26.75
Antonio Perez;OAK;Small Forward;75.10;161.50;27.09
Eric Chavez;OAK;Small Forward;77.21;195.70;29.23
Milton Bradley;OAK;Shooting Guard;76.15;194.75;28.88
Shannon Stewart;OAK;Shooting Guard;75.10;190.00;33.01
Bobby Kielty;OAK;Shooting Guard;77.21;213.75;30.57
Mark Kotsay;OAK;Shooting Guard;76.15;190.95;31.24
Ryan Goleski;OAK;Shooting Guard;79.33;213.75;24.95
Jeremy Brown;OAK;Small Forward;74.04;214.70;27.35
Jason Windsor;OAK;Point Guard;78.27;221.35;24.62
David Shafer;OAK;Point Guard;78.27;171.00;24.98
Joe Blanton;OAK;Point Guard;79.33;213.75;26.22
Brad Halsey;OAK;Point Guard;77.21;171.00;26.04
Dan Haren;OAK;Point Guard;81.44;209.00;26.45
Rich Harden;OAK;Point Guard;77.21;171.00;25.25
Joe Kennedy;OAK;Point Guard;80.38;225.15;27.77
Esteban Loaiza;OAK;Point Guard;79.33;204.25;35.16
Alan Embree;OAK;Center;78.27;180.50;37.1
Jay Witasick;OAK;Center;80.38;223.25;34.51
Justin Duchscherer;OAK;Center;79.33;180.50;29.28
Kiko Calero;OAK;Center;77.21;171.00;32.14
Chad Gaudin;OAK;Center;75.10;156.75;23.94
Lenny DiNardo;OAK;Center;80.38;185.25;27.45
Scott Dunn;OAK;Center;79.33;190.00;28.77
Huston Street;OAK;Center;76.15;180.50;23.58
Ron Flores;OAK;Center;75.10;180.50;27.56
Jay Marshall;OAK;Center;81.44;175.75;24.01
Marcus McBeth;OAK;Center;77.21;175.75;26.52
Jorge Posada;NYY;Point Guard;78.27;194.75;35.54
Wil Nieves;NYY;Point Guard;75.10;180.50;29.43
Andy Phillips;NYY;Center;76.15;194.75;29.9
Doug Mientkiewicz;NYY;Center;78.27;195.70;32.7
Josh Phelps;NYY;Center;79.33;209.00;28.8
Miguel Cairo;NYY;Small Forward;77.21;197.60;32.82
Robinson Cano;NYY;Small Forward;76.15;161.50;24.36
Derek Jeter;NYY;Power Forward;79.33;185.25;32.68
Alex Rodriguez;NYY;Small Forward;79.33;199.50;31.59
Johnny Damon;NYY;Shooting Guard;78.27;180.50;33.32
Bobby Abreu;NYY;Shooting Guard;76.15;200.45;32.97
Hideki Matsui;NYY;Shooting Guard;78.27;218.50;32.72
Melky Cabrera;NYY;Shooting Guard;75.10;161.50;22.55
Kevin Thompson;NYY;Shooting Guard;74.04;175.75;27.45
Jason Giambi;NYY;Small Forward;79.33;218.50;36.14
Mike Mussina;NYY;Point Guard;78.27;175.75;38.23
Carl Pavano;NYY;Point Guard;81.44;228.95;31.14
Andy Pettitte;NYY;Point Guard;81.44;213.75;34.71
Darrell Rasner;NYY;Point Guard;79.33;199.50;26.13
Jeff Karstens;NYY;Point Guard;79.33;166.25;24.43
Humberto Sanchez;NYY;Point Guard;82.50;218.50;23.76
Chien-Ming Wang;NYY;Point Guard;79.33;190.00;26.92
Sean Henn;NYY;Center;80.38;204.25;25.85
Scott Proctor;NYY;Center;77.21;188.10;30.16
Brian Bruney;NYY;Center;79.33;214.70;25.03
Chris Britton;NYY;Center;79.33;264.10;24.21
T.J. Beam;NYY;Center;83.56;204.25;26.51
Jose Veras;NYY;Center;81.44;218.50;26.36
Kyle Farnsworth;NYY;Center;80.38;228.00;30.88
Luis Vizcaino;NYY;Center;75.10;174.80;32.57
Mike Myers;NYY;Center;79.33;208.05;37.68
Mariano Rivera;NYY;Center;78.27;161.50;37.25
Ivan Rodriguez;DET;Point Guard;72.98;207.10;35.25
Vance Wilson;DET;Point Guard;75.10;180.50;33.95
Sean Casey;DET;Center;80.38;213.75;32.66
Chris Shelton;DET;Center;76.15;209.00;26.68
Omar Infante;DET;Small Forward;76.15;167.20;25.18
Placido Polanco;DET;Small Forward;74.04;180.50;31.39
Neifi Perez;DET;Small Forward;76.15;187.15;33.74
Carlos Guillen;DET;Power Forward;77.21;193.80;31.42
Ramon Santiago;DET;Power Forward;75.10;158.65;27.5
Tony Giarratano;DET;Power Forward;76.15;171.00;24.25
Brandon Inge;DET;Small Forward;75.10;185.25;29.78
Craig Monroe;DET;Shooting Guard;77.21;209.00;30
Magglio Ordo?ez;DET;Shooting Guard;76.15;204.25;33.09
Curtis Granderson;DET;Shooting Guard;77.21;175.75;25.96
Brent Clevlen;DET;Shooting Guard;78.27;180.50;23.34
Marcus Thames;DET;Shooting Guard;78.27;194.75;29.98
Gary Sheffield;DET;Shooting Guard;76.15;194.75;38.28
Mike Rabelo;DET;Small Forward;77.21;190.00;27.12
Zach Miner;DET;Point Guard;79.33;190.00;24.97
Jeremy Bonderman;DET;Point Guard;78.27;199.50;24.34
Nate Robertson;DET;Point Guard;78.27;204.25;29.49
Justin Verlander;DET;Point Guard;81.44;190.00;24.02
Virgil Vasquez;DET;Point Guard;79.33;194.75;24.73
Kenny Rogers;DET;Point Guard;77.21;200.45;42.3
Mike Maroth;DET;Point Guard;76.15;180.50;29.54
Fernando Rodney;DET;Center;75.10;197.60;29.95
Chad Durbin;DET;Center;78.27;190.00;29.24
Jason Grilli;DET;Center;81.44;199.50;30.3
Jose Mesa;DET;Center;79.33;220.40;40.77
Todd Jones;DET;Center;79.33;218.50;38.85
Joel Zumaya;DET;Center;79.33;199.50;22.31
Jordan Tata;DET;Center;82.50;209.00;25.44
Andrew Miller;DET;Center;82.50;199.50;21.78
Yorman Bazardo;DET;Center;78.27;191.90;22.64
Wilfredo Ledezma;DET;Center;80.38;201.40;26.11
Roman Colon;DET;Center;82.50;213.75;27.55
Edward Campusano;DET;Center;80.38;161.50;24.63
Rene Rivera;SEA;Point Guard;74.04;180.50;23.58
Kenji Johjima;SEA;Point Guard;76.15;190.00;30.73
Richie Sexson;SEA;Center;84.62;225.15;32.17
Ben Broussard;SEA;Center;78.27;209.00;30.43
Jose Lopez;SEA;Small Forward;78.27;161.50;23.27
Jose Vidro;SEA;Small Forward;75.10;183.35;32.51
Yuniesky Betancourt;SEA;Power Forward;74.04;180.50;25.08
Oswaldo Navarro;SEA;Power Forward;76.15;142.50;22.41
Adrian Beltre;SEA;Small Forward;75.10;209.00;27.9
Raul Ibanez;SEA;Shooting Guard;78.27;190.00;34.74
Jose Guillen;SEA;Shooting Guard;75.10;180.50;30.79
Jeremy Reed;SEA;Shooting Guard;76.15;175.75;25.71
Willie Bloomquist;SEA;Shooting Guard;75.10;175.75;29.26
Adam Jones;SEA;Shooting Guard;78.27;190.00;21.58
Ichiro Suzuki;SEA;Shooting Guard;72.98;163.40;33.36
Mike Morse;SEA;Shooting Guard;80.38;209.00;24.94
Felix Hernandez;SEA;Point Guard;79.33;213.75;20.9
Ryan Feierabend;SEA;Point Guard;79.33;180.50;21.52
Sean White;SEA;Point Guard;80.38;185.25;25.85
Horacio Ramirez;SEA;Point Guard;77.21;208.05;27.27
Cha Baek;SEA;Point Guard;80.38;180.50;26.75
Miguel Batista;SEA;Point Guard;77.21;187.15;36.03
Jeff Weaver;SEA;Point Guard;81.44;190.00;30.52
Jarrod Washburn;SEA;Point Guard;77.21;185.25;32.55
George Sherrill;SEA;Center;76.15;199.50;29.86
Julio Mateo;SEA;Center;76.15;168.15;29.58
J.J. Putz;SEA;Center;81.44;209.00;30.02
Chris Reitsma;SEA;Center;81.44;223.25;29.16
Cesar Jimenez;SEA;Center;75.10;171.00;22.3
Eric O'Flaherty;SEA;Center;78.27;185.25;22.06
Jon Huber;SEA;Center;78.27;185.25;25.65
Jake Woods;SEA;Center;77.21;180.50;25.49
Sean Green;SEA;Center;82.50;218.50;27.86
Mark Lowe;SEA;Center;79.33;180.50;23.73
Josh Paul;TB;Point Guard;77.21;190.00;31.78
Dioner Navarro;TB;Point Guard;74.04;180.50;23.06
Shawn Riggans;TB;Point Guard;78.27;180.50;26.6
Ty Wigginton;TB;Center;76.15;190.00;29.39
Brendan Harris;TB;Small Forward;77.21;190.00;26.51
Jorge Cantu;TB;Small Forward;77.21;174.80;25.08
Ben Zobrist;TB;Power Forward;79.33;190.00;25.76
B.J. Upton;TB;Small Forward;79.33;171.00;22.52
Carl Crawford;TB;Shooting Guard;78.27;208.05;25.57
Rocco Baldelli;TB;Shooting Guard;80.38;177.65;25.43
Greg Norton;TB;Shooting Guard;77.21;190.00;34.65
Elijah Dukes;TB;Shooting Guard;78.27;209.00;22.68
Delmon Young;TB;Shooting Guard;79.33;194.75;21.46
Jonny Gomes;TB;Small Forward;77.21;194.75;26.27
Edwin Jackson;TB;Point Guard;79.33;180.50;23.47
Scott Kazmir;TB;Point Guard;76.15;161.50;23.1
Casey Fossum;TB;Point Guard;77.21;152.00;29.14
Jae Seo;TB;Point Guard;77.21;204.25;29.77
J.P. Howell;TB;Point Guard;76.15;166.25;23.85
Tim Corcoran;TB;Point Guard;78.27;194.75;28.88
Jason Hammel;TB;Point Guard;82.50;190.00;24.49
James Shields;TB;Point Guard;80.38;203.30;25.19
Brian Stokes;TB;Point Guard;77.21;190.00;27.48
Juan Salas;TB;Center;78.27;180.50;28.31
Jeff Ridgway;TB;Center;79.33;171.00;26.54
Ruddy Lugo;TB;Center;74.04;194.75;26.77
Jae-Kuk Ryu;TB;Center;79.33;209.00;23.75
Chad Orvella;TB;Center;75.10;180.50;26.41
Dan Miceli;TB;Center;76.15;204.25;36.47
Seth McClung;TB;Center;82.50;223.25;26.06
Jon Switzer;TB;Center;79.33;181.45;27.55
Shawn Camp;TB;Center;77.21;190.00;31.28
Scott Dohmann;TB;Center;77.21;171.95;29.04
Jason LaRue;KC;Point Guard;75.10;190.00;32.95
John Buck;KC;Point Guard;79.33;199.50;26.65
Ryan Shealy;KC;Center;81.44;228.00;27.5
Ross Gload;KC;Center;76.15;175.75;30.9
Esteban German;KC;Small Forward;72.98;156.75;29.09
Mark Grudzielanek;KC;Small Forward;77.21;180.50;36.67
Angel Sanchez;KC;Small Forward;78.27;175.75;23.44
Angel Berroa;KC;Power Forward;76.15;166.25;29.09
Andres Blanco;KC;Power Forward;74.04;147.25;22.89
Mark Teahen;KC;Small Forward;79.33;199.50;25.48
Joey Gathright;KC;Shooting Guard;74.04;161.50;25.84
David DeJesus;KC;Shooting Guard;76.15;166.25;27.2
Shane Costa;KC;Shooting Guard;76.15;209.00;25.22
Mitch Maier;KC;Shooting Guard;78.27;199.50;24.67
Reggie Sanders;KC;Shooting Guard;77.21;194.75;39.25
Emil Brown;KC;Shooting Guard;78.27;190.00;32.17
Mike Sweeney;KC;Small Forward;79.33;213.75;33.61
John Bale;KC;Point Guard;80.38;194.75;32.77
Luke Hudson;KC;Point Guard;79.33;185.25;29.83
Scott Elarton;KC;Point Guard;84.62;228.00;31.02
Odalis Perez;KC;Point Guard;76.15;142.50;29.73
Gil Meche;KC;Point Guard;79.33;190.00;28.48
Neal Musser;KC;Point Guard;77.21;204.25;26.51
Brian Bannister;KC;Point Guard;78.27;191.90;26
Zack Greinke;KC;Point Guard;78.27;190.00;23.36
Jorge De La Rosa;KC;Point Guard;77.21;180.50;25.9
Todd Wellemeyer;KC;Center;79.33;194.75;28.5
Jimmy Gobble;KC;Center;79.33;180.50;25.62
Joel Peralta;KC;Center;75.10;152.00;30.94
Ryan Braun;KC;Center;77.21;204.25;26.59
Joakim Soria;KC;Center;79.33;175.75;22.78
Ken Ray;KC;Center;78.27;190.00;32.26
David Riske;KC;Center;78.27;180.50;30.35
Octavio Dotel;KC;Center;76.15;199.50;33.26
Joe Nelson;KC;Center;78.27;175.75;32.35
Gerald Laird;TEX;Point Guard;78.27;209.00;27.3
Miguel Ojeda;TEX;Point Guard;78.27;180.50;32.08
Guillermo Quiroz;TEX;Point Guard;77.21;191.90;25.25
Chris Stewart;TEX;Point Guard;80.38;194.75;25.03
Mark Teixeira;TEX;Center;79.33;209.00;26.89
Ian Kinsler;TEX;Small Forward;76.15;166.25;24.69
Joaquin Arias;TEX;Power Forward;77.21;152.00;22.44
Michael Young;TEX;Power Forward;77.21;180.50;30.36
Hank Blalock;TEX;Small Forward;77.21;190.00;26.27
Marlon Byrd;TEX;Shooting Guard;76.15;217.55;29.5
Brad Wilkerson;TEX;Shooting Guard;76.15;195.70;29.75
Sammy Sosa;TEX;Shooting Guard;76.15;209.00;38.3
Kenny Lofton;TEX;Shooting Guard;76.15;171.00;39.75
Frank Catalanotto;TEX;Shooting Guard;75.10;185.25;32.84
Nelson Cruz;TEX;Shooting Guard;79.33;166.25;26.66
Jason Botts;TEX;Small Forward;81.44;237.50;26.6
Robinson Tejeda;TEX;Point Guard;79.33;178.60;24.94
John Rheinecker;TEX;Point Guard;78.27;218.50;27.76
Edinson Volquez;TEX;Point Guard;77.21;180.50;23.66
A.J. Murray;TEX;Point Guard;79.33;190.00;24.96
Brandon McCarthy;TEX;Point Guard;83.56;180.50;23.65
Vicente Padilla;TEX;Point Guard;78.27;208.05;29.42
Kevin Millwood;TEX;Point Guard;80.38;223.25;32.18
John Koronka;TEX;Point Guard;77.21;171.00;26.66
Frank Francisco;TEX;Center;78.27;171.00;27.47
Francisco Cruceta;TEX;Center;78.27;171.00;25.66
Akinori Otsuka;TEX;Center;76.15;190.00;35.13
Eric Gagne;TEX;Center;78.27;222.30;31.15
Ron Mahay;TEX;Center;78.27;175.75;35.67
Joaquin Benoit;TEX;Center;79.33;209.00;29.6
Rick Bauer;TEX;Center;82.50;211.85;30.14
Josh Rupe;TEX;Center;78.27;190.00;24.53
Wes Littleton;TEX;Center;78.27;199.50;24.49
C.J. Wilson;TEX;Center;78.27;190.00;26.28
Scott Feldman;TEX;Center;81.44;199.50;24.06
Gregg Zaun;TOR;Point Guard;74.04;180.50;35.88
Jason Phillips;TOR;Point Guard;77.21;168.15;30.42
Lyle Overbay;TOR;Center;78.27;215.65;30.09
Russ Adams;TOR;Small Forward;77.21;171.00;26.5
Aaron Hill;TOR;Small Forward;75.10;185.25;24.94
Jason Smith;TOR;Small Forward;79.33;189.05;29.6
John McDonald;TOR;Power Forward;75.10;166.25;32.43
Royce Clayton;TOR;Power Forward;76.15;175.75;37.16
Troy Glaus;TOR;Small Forward;81.44;228.00;30.57
John Hattig;TOR;Small Forward;78.27;199.50;27.01
Reed Johnson;TOR;Shooting Guard;74.04;171.00;30.23
Alex Rios;TOR;Shooting Guard;81.44;184.30;26.03
Vernon Wells;TOR;Shooting Guard;77.21;213.75;28.23
Frank Thomas;TOR;Small Forward;81.44;261.25;38.76
Adam Lind;TOR;Small Forward;78.27;185.25;23.62
Shaun Marcum;TOR;Point Guard;76.15;171.00;25.21
Casey Janssen;TOR;Point Guard;80.38;194.75;25.45
Gustavo Chacin;TOR;Point Guard;75.10;183.35;26.24
A.J. Burnett;TOR;Point Guard;80.38;218.50;30.15
Roy Halladay;TOR;Point Guard;82.50;218.50;29.8
John Thomson;TOR;Point Guard;79.33;209.00;33.41
Tomo Ohka;TOR;Point Guard;77.21;190.00;30.95
B.J. Ryan;TOR;Center;82.50;236.55;31.17
Scott Downs;TOR;Center;78.27;180.50;30.95
Brian Tallet;TOR;Center;83.56;197.60;29.44
Matt Roney;TOR;Center;79.33;232.75;27.14
Tracy Thorpe;TOR;Center;80.38;237.50;26.21
Jean Machi;TOR;Center;76.15;152.00;24.08
Brandon League;TOR;Center;79.33;182.40;23.96
Dustin McGowan;TOR;Center;79.33;209.00;24.94
Jason Frasor;TOR;Center;74.04;161.50;29.56
Francisco Rosario;TOR;Center;76.15;187.15;26.42
Davis Romero;TOR;Center;74.04;147.25;23.92
Jeremy Accardo;TOR;Center;78.27;180.50;25.23
Mike Redmond;MIN;Point Guard;75.10;190.00;35.82
Joe Mauer;MIN;Point Guard;80.38;209.00;23.87
Chris Heintz;MIN;Point Guard;77.21;199.50;32.57
Justin Morneau;MIN;Center;80.38;216.60;25.79
Luis Castillo;MIN;Small Forward;75.10;180.50;31.47
Alexi Casilla;MIN;Small Forward;72.98;152.00;22.61
Alejandro Machado;MIN;Small Forward;76.15;174.80;24.85
Jason Bartlett;MIN;Power Forward;76.15;171.00;27.33
Luis Rodriguez;MIN;Small Forward;72.98;171.00;26.67
Jeff Cirillo;MIN;Small Forward;77.21;190.00;37.43
Nick Punto;MIN;Small Forward;72.98;167.20;29.31
Jason Tyner;MIN;Shooting Guard;77.21;152.00;29.85
Michael Cuddyer;MIN;Shooting Guard;78.27;210.90;27.93
Torii Hunter;MIN;Shooting Guard;78.27;200.45;31.62
Lew Ford;MIN;Shooting Guard;76.15;185.25;30.55
Jason Kubel;MIN;Shooting Guard;75.10;190.00;24.77
Josh Rabe;MIN;Small Forward;78.27;199.50;28.38
Rondell White;MIN;Small Forward;77.21;213.75;35.02
Ramon Ortiz;MIN;Point Guard;76.15;166.25;33.77
Johan Santana;MIN;Point Guard;76.15;195.70;27.97
Carlos Silva;MIN;Point Guard;80.38;228.00;27.85
Matt Garza;MIN;Point Guard;80.38;175.75;23.26
Boof Bonser;MIN;Point Guard;80.38;247.00;25.38
